M|1|!!PREP-SEDE ADMINISTRATIVA|-1|Av. 15 No. 106-57 CENCOSUD COLOMBIA S.A.||BOGOTA|||169|11| |1|Av. 15 No. 106-57 CENCOSUD COLOMBIA S.A.|1|N||||| ||S|1899-12-31||0|1
M|2|!!PREP-EDS MARRUECOS|-1|Av. Caracas No. 49-28 Sur ||BOGOTA|||169|11|METRO|1|Av. Caracas No. 49-28 Sur |1|S|||||EDS||S|2008-07-05||0|1
M|3|!!PREP-JUMBO BULEVAR NIZA|-1|AV CRA 58 #127-59 CC BULEVAR NIZA ||BOGOTA|||169|11|JUMBO|1|AV CRA 58 #127-59 CC BULEVAR NIZA |1|S|||||HIP||S|2009-12-03||3700|1
M|6|!!PREP-METRO PALMIRA|-1|CARRERA 28 CON CALLE 43 ||PALMIRA|||169|76|METRO|520|CARRERA 28 CON CALLE 43 |1|S|||||HIP||S|2008-10-29||4300|1
M|7|!!PREP-EDS COLOMBIA CALLE 50|-1|Calle 50 No 57 - 34 ||MEDELLIN|||169|5|JUMBO|1|Calle 50 No 57 - 34 |1|S|||||EDS||S|2008-09-15||0|1
M|8|!!PREP-EDS 1° MAYO|-1|Transversal 72 No. 35 - 09 Sur ||BOGOTA|||169|11|METRO|1|Transversal 72 No. 35 - 09 Sur |1|S|||||EDS||S|2010-08-04||0|1
M|9|!!PREP-JUMBO UNICENTRO|-1|PEREIRA UNICENTRO ||PEREIRA|||169|66|JUMBO|1|PEREIRA UNICENTRO |1|S|||||HIP||S|2008-09-24||3500|1
M|10|!!PREP-METRO BOSA|-1|Carrera 92 # 60-90 Sur Bosa ||BOGOTA|||169|11|METRO|1|Carrera 92 # 60-90 Sur Bosa |1|S|||||HIP||S|2007-10-15||4156|1
M|11|!!PREP-JUMBO CALLE 80|-1|Av. Calle 81 No. 68-50 CENCOSUD COLOMBIA S.A.||BOGOTA|||169|11|JUMBO|1|Av. Calle 81 No. 68-50 CENCOSUD COLOMBIA S.A.|1|S|||||HIP||S|1998-10-15||12500|1
M|13|!!PREP-JUMBO VALLE DE LILI|-1|Cra 98 No. 16-50 CENCOSUD COLOMBIA S.A.||CALI|||169|76|JUMBO|1|Cra 98 No. 16-50 CENCOSUD COLOMBIA S.A.|1|S|||||HIP||S|1999-08-20||9500|1
M|14|!!PREP-JUMBO CALLE 170|-1|Calle 170 No. 64-45 CENCOSUD COLOMBIA S.A.||BOGOTA|||169|11|JUMBO|1|Calle 170 No. 64-45 CENCOSUD COLOMBIA S.A.|1|S|||||HIP||S|2000-09-08||10200|1
M|15|!!PREP-JUMBO HAYUELOS|-1|AV.CLL.31N.82A-19. ||BOGOTA|||169|11|JUMBO|1|AV.CLL.31N.82A-19. |1|S|||||HIP||S|2001-05-05||10249|1
M|16|!!PREP-JUMBO CARRERA 30|-1|Cra. 32 No. 18-10 CENCOSUD COLOMBIA S.A.||BOGOTA|||169|11|JUMBO|1|Cra. 32 No. 18-10 CENCOSUD COLOMBIA S.A.|1|S|||||HIP||S|2001-03-22||9400|1
M|17|!!PREP-METRO 20 DE JULIO|-1|Carrera 10 No 30 B 20 sur ||BOGOTA|||169|11|METRO|1|Carrera 10 No 30 B 20 sur |1|S|||||HIP||S|2002-09-03||5300|1
M|18|!!PREP-METRO AUTOSUR|-1|CALLE 57 SUR # 77A - 18 ||BOGOTA|||169|11|METRO|1|CALLE 57 SUR # 77A - 18 |1|S|||||HIP||S|2003-04-24||8300|1
M|19|!!PREP-JUMBO SANTA ANA|-1|Calle 110 No 9-04 ||BOGOTA|||169|11|JUMBO|1|Calle 110 No 9-04 |1|S|||||HIP||S|2005-01-26||8617|1
M|20|!!PREP-METRO FLORESTA|-1|Carrera 69 Nº 98 A  11 ||BOGOTA|||169|11|METRO|1|Carrera 69 Nº 98 A  11 |1|S|||||HIP||N|2008-12-05|2014-12-31|1800|1
M|21|!!PREP-EDS APOLO AUTOSUR|-1|CRA. 50-No 2 SUR - 189 ||MEDELLIN|||169|5|METRO|1|CRA. 50-No 2 SUR - 189 |1|S|||||EDS||S|2002-11-29||5800|1
M|22|!!PREP-JUMBO LAS VEGAS|-1|CRA 48 No. 19 Sur - 29  Envigado ||ENVIGADO|||169|5|JUMBO|266|CRA 48 No. 19 Sur - 29  Envigado |1|S|||||HIP||S|2002-09-22||9800|1
M|23|!!PREP-JUMBO DE LA 65|-1|Calle 47D # 65-115 Medellin ||MEDELLIN|||169|5|JUMBO|1|Calle 47D # 65-115 Medellin |1|S|||||HIP||S|2003-10-10||10300|1
M|24|!!PREP-JUMBO PREMIUM PLAZA|-1|Carrera 44 Nº 29  80 ||MEDELLIN|||169|5|JUMBO|1|Carrera 44 Nº 29  80 |1|S|||||HIP||S|2007-10-31||4425|1
M|25|!!PREP-METRO BELLO . ANTIOQUIA|-1|Carrera 50 No. 27B  71 ||BELLO|||169|5|METRO|88|Carrera 50 No. 27B  71 |1|S|||||HIP||S|2007-11-15||4201|1
M|26|!!PREP-METRO BANDERAS|-1|Calle 6A Nº 78A  68 Sur ||BOGOTA|||169|11|METRO|1|Calle 6A Nº 78A  68 Sur |1|S|||||HIP||S|2008-12-12||2500|1
M|27|!!PREP-JUMBO RIONEGRO|-1|Diagonal 51B Nº 39  44 ||RIONEGRO|||169|5|JUMBO|615|Diagonal 51B Nº 39  44 |1|S|||||HIP||S|2008-08-23||4800|1
M|28|!!PREP-METRO DUITAMA|-1|DUITAMA ||DUITAMA|||169|15|METRO|238|DUITAMA |1|S|||||HIP||S|2009-11-26||2500|1
M|29|!!PREP-METRO CALLE 100|-1|CALLE 100 Avenida Suba ||BOGOTA|||169|11|METRO|1|CALLE 100 Avenida Suba |1|N|||||HIP||N|2008-12-05|2017-12-18|4700|1
M|30|!!PREP-JUMBO LIMONAR PREMIER|-1|Calle 5 Nº 69  09 ||CALI|||169|76|JUMBO|1|Calle 5 Nº 69  09 |1|S|||||HIP||S|2009-08-27||7000|1
M|31|!!PREP-JUMBO CHIPICHAPE|-1|Avenida 6a Con Calle 40 Norte ||CALI|||169|76|JUMBO|1|Avenida 6a Con Calle 40 Norte |1|S|||||HIP||S|2003-11-10||8012|1
